Row_1,Notes regarding Input Position / Object Name,Input Position (RA),Input Position (DEC),Sep (''),Essential Note,Object Name,Amusing Name,amusing redshift,RA (J2000),Dec (J2000),Row_1a
136,,,,6.7,,SN 2008C,,,06h57m11.53s,+20d26m13.7s,136
137,,14:07:32.00,-26:33:06.00,5.1,,[WLF2008] J140732.38-263305.6,anon20,0.046031,14h07m32.38s,-26d33m05.6s,137
138,,,,7.5,,SN 2008cf,,,14h07m32.56s,-26d33m06.6s,138
139,,20:13:56.00,-44:21:05.00,2.9,,ESO 284- G 032,E284-G32,0.019173,20h13m56.26s,-44d21m04.2s,139
140,,22:10:44.00,-20:47:17.00,9.0,,2MASX J22104396-2047256,anon21,0.059040,22h10m43.98s,-20d47m26.0s,140
141,,00:04:01.00,-11:10:27.00,5.5,,GALEXASC J000401.28-111030.6,M-02-01-14,0.038329,00h04m01.28s,-11d10m30.6s,141
142,,,,7.8,,MCG -02-01-014,,,00h04m01.53s,-11d10m27.4s,142
143,,11:23:41.00,-22:16:14.00,0.6,Star superposed?,ESO 570- G 020,E570-G20,0.027705,11h23m40.96s,-22d16m13.8s,143
144,,05:03:33.00,+06:39:26.00,3.2,,UGC 03236,UGC3236,0.028446,05h03m33.21s,+06d39m26.5s,144
145,,03:54:25.00,-19:11:25.00,4.7,,ESO 549- G 031,M-03-10-52,0.025074,03h54m24.67s,-19d11m25.1s,145
146,,02:45:10.00,-04:42:39.00,0.9,,NGC 1080,NGC1080,0.026161,02h45m09.94s,-04d42m38.8s,146
147,,04:23:47.00,-51:35:58.00,3.3,ESO-LV gives v= 6800+/-90 km/sec.,NGC 1578,NGC1578,0.020374,04h23m46.65s,-51d35m58.0s,147
148,,,,5.2,,SN 2014cd,,,04h23m47.19s,-51d36m02.9s,148
149,,13:56:04.00,-43:35:09.00,2.3,,SN 2014bz,anon22,NULL,13h56m04.19s,-43d35m09.9s,149
150,,12:46:53.00,+14:47:50.00,4.9,,SDSS J124653.32+144748.4,anon23,0.060000,12h46m53.32s,+14d47m48.4s,150
151,,14:20:49.00,-05:15:02.00,2.0,,APMUKS(BJ) B141811.91-050120.8,anon24,0.080000,14h20m49.12s,-05d15m03.0s,151
152,,19:59:33.00,-56:59:27.00,7.9,,GALEXASC J195932.30-565932.4,anon25,0.057000,19h59m32.30s,-56d59m32.5s,152
153,,21:46:15.00,-46:31:07.00,2.0,,NGC 7119B,NGC7119B,0.031982,21h46m15.18s,-46d31m06.3s,153
154,,,,5.5,,NGC 7119,,,21h46m15.50s,-46d31m05.0s,154
155,,,,9.5,,GALEXASC J214615.65-463100.3,,,21h46m15.65s,-46d31m00.4s,155
156,,13:43:48.00,-32:54:35.00,5.6,,2MASX J13434760-3254381,anon26,0.050000,13h43m47.63s,-32d54m38.1s,156
157,NOTE: No objects found in NED within 10.0 arcsec,05:48:23.00,-66:47:30.00,,,,anon27,NULL,,,157
158,,06:13:48.00,-67:55:15.00,0.5,,2MASX J06134795-6755146,anon28,NULL,06h13m47.99s,-67d55m14.5s,158
159,NOTE: No objects found in NED within 10.0 arcsec,12:55:33.00,-32:56:40.00,,,,anon29,0.080000,,,159
160,,03:33:13.00,-26:12:24.00,8.6,,APMUKS(BJ) B033105.19-262232.9,anon30,0.040000,03h33m12.55s,-26d12m30.1s,160
161,,06:38:07.00,-75:43:37.00,8.2,,2MASX J06380745-7543288,anon31,NULL,06h38m07.40s,-75d43m28.9s,161
162,NOTE: No objects found in NED within 10.0 arcsec,03:10:10.00,-36:37:45.00,,,,anon32,0.070000,,,162
163,,02:12:34.00,-37:20:23.00,8.3,,GALEXMSC J021234.60-372019.1,anon33,0.070000,02h12m34.61s,-37d20m19.1s,163
164,NOTE: No objects found in NED within 10.0 arcsec,04:19:47.00,-63:43:22.00,,,,anon34,NULL,,,164
165,,05:58:30.00,-63:33:38.00,2.5,,2MASX J05583036-6333386,anon35,NULL,05h58m30.37s,-63d33m38.4s,165
166,,,,8.5,,GALEXASC J055831.27-633338.7,,,05h58m31.27s,-63d33m38.7s,166
167,NOTE: No objects found in NED within 10.0 arcsec,04:55:16.00,-20:00:05.00,,,,anon36,0.080000,,,167
168,,05:14:48.00,-66:50:29.00,9.3,,[GC2009] J051446.44-665030.1,anon37,NULL,05h14m46.44s,-66d50m30.1s,168
169,,01:46:09.00,-67:28:00.00,5.4,,2MASX J01460987-6727579,anon38,NULL,01h46m09.85s,-67d27m57.8s,169
170,,21:37:28.00,-47:02:09.00,1.8,,ESO 287- G 040,E287-G40,0.030868,21h37m28.18s,-47d02m09.0s,170
171,,,,9.4,,GALEXASC J213727.65-470200.3,,,21h37m27.65s,-47d02m00.3s,171
1,,13:26:51.00,-10:01:32.00,4.7,,SN 2013bz,anon39,0.019163,13h26m51.32s,-10d01m32.2s,1
2,,,,6.3,,2MASX J13265081-1001263,,,13h26m50.81s,-10d01m26.4s,2
3,,05:39:53.00,-40:30:45.00,5.0,,ESO 306- G 016,E306-G16,0.037332,05h39m53.44s,-40d30m45.0s,3
4,,11:52:52.00,-18:59:19.00,4.9,,SN 2013as,anon40,0.070048,11h52m52.34s,-18d59m19.9s,4
5,,,,4.9,,CRTS J115252.34-185919.9,,,11h52m52.34s,-18d59m19.9s,5
6,NOTE: No objects found in NED within 10.0 arcsec,11:44:44.00,-20:31:41.00,,,,anon41,0.030020,,,6
7,,02:02:22.00,-65:44:09.00,3.0,,2MASX J02022241-6544090,anon42,NULL,02h02m22.48s,-65d44m09.4s,7
8,,10:01:12.00,+00:19:46.00,1.4,,GALEXASC J100111.90+001946.4,CGCG008-023,0.034527,10h01m11.91s,+00d19m46.4s,8
9,,,,1.5,,SDSS J100112.08+001946.7,,,10h01m12.08s,+00d19m46.7s,9
10,,,,1.8,,CGCG 008-023,,,10h01m11.88s,+00d19m45.6s,10
11,,,,3.7,,SN 2013U,,,10h01m12.00s,+00d19m42.3s,11
12,,,,4.0,,SDSS J100112.13+001949.4,,,10h01m12.14s,+00d19m49.4s,12
13,,,,6.4,,SDSS J100112.42+001945.8,,,10h01m12.43s,+00d19m45.8s,13
14,,,,8.1,,NVSS J100111+001951,,,10h01m11.59s,+00d19m51.2s,14
15,,04:01:53.00,-26:39:50.00,2.6,,2MASXi J0401529-263947,anon43,0.070000,04h01m52.91s,-26d39m47.7s,15
16,,,,6.9,,GALEXASC J040152.64-263944.9,,,04h01m52.65s,-26d39m45.0s,16
17,,03:19:44.00,-27:00:26.00,6.3,,2MASX J03194423-2700201,anon44,0.069400,03h19m44.23s,-27d00m20.5s,17
18,,11:07:39.00,-29:42:41.00,7.1,,GALEXASC J110738.65-294235.5,anon45,0.060000,11h07m38.65s,-29d42m35.6s,18
19,NOTE: No objects found in NED within 10.0 arcsec,02:35:18.00,-30:57:49.00,,,,anon46,0.160000,,,19
20,,02:40:43.00,-34:44:26.00,7.3,,GALEXASC J024043.58-344425.0,anon47,0.100000,02h40m43.59s,-34d44m25.0s,20
21,,06:07:02.00,-69:21:17.00,1.7,,2MASX J06070178-6921180,anon48,NULL,06h07m01.72s,-69d21m17.8s,21
22,,23:17:37.00,+14:00:04.00,4.9,,SN 2012gm,NGC7580,0.015967,23h17m37.03s,+14d00m08.9s,22
23,,,,4.9,,SDSS J231736.66+140003.1,,,23h17m36.67s,+14d00m03.1s,23
24,,,,6.6,,SDSS J231736.56+140002.1,,,23h17m36.56s,+14d00m02.2s,24
25,,,,6.8,,SDSS J231736.69+135958.8,,,23h17m36.70s,+13d59m58.9s,25
26,,,,7.5,,GALEXMSC J231736.48+140003.0,,,23h17m36.49s,+14d00m03.1s,26
27,,,,7.9,,SDSS J231737.51+140006.2,,,23h17m37.52s,+14d00m06.3s,27
28,,,,8.8,,NGC 7580,,,23h17m36.40s,+14d00m04.3s,28
29,,,,9.5,,SDSS J231737.56+140008.7,,,23h17m37.57s,+14d00m08.8s,29
30,,05:22:17.00,-25:36:27.00,3.0,,ESO 487- G 004,ESO487-G004,0.031242,05h22m17.22s,-25d36m26.8s,30
31,,04:58:16.00,-16:17:58.00,1.6,,LSQ12fuk,anon49,0.020000,04h58m15.89s,-16d17m57.8s,31
32,,,,3.2,,GALEXASC J045815.88-161800.7,,,04h58m15.88s,-16d18m00.7s,32
33,,10:03:57.00,-06:14:38.00,1.5,,GALEXASC J100357.15-061438.0,anon50,NULL,10h03m57.10s,-06d14m37.8s,33
34,,13:59:42.00,-25:22:43.00,0.4,,ESO 510- G 034,ESO510-G034,0.037906,13h59m42.00s,-25d22m42.6s,34
35,NOTE: No objects found in NED within 10.0 arcsec,12:38:16.00,-15:06:32.00,,,,anon51,NULL,,,35
36,,10:17:42.00,-07:24:54.00,3.4,,GALEXASC J101741.80-072452.2,anon52,0.060000,10h17m41.80s,-07d24m52.2s,36
37,,10:55:18.00,-14:18:01.00,7.1,,GALEXASC J105517.85-141757.2,anon53,0.100000,10h55m17.60s,-14d17m57.0s,37
38,,05:31:04.00,-19:47:59.00,8.7,,2MASX J05310364-1948063,anon54,0.105000,05h31m03.63s,-19d48m06.0s,38
39,,12:39:36.00,+16:35:16.00,2.1,,IC 0803 NED01,anon55,0.025017,12h39m35.86s,+16d35m16.2s,39
40,,,,8.0,,SDSS J123936.04+163508.0,,,12h39m36.04s,+16d35m08.0s,40
41,,02:33:23.00,+09:36:06.00,3.7,,NGC 0975,NGC975,0.020384,02h33m22.75s,+09d36m06.1s,41
42,,14:53:23.00,+02:58:00.00,6.0,,CGCG 048-051,CGCG048-051,0.027762,14h53m23.40s,+02d57m59.5s,42
43,,05:16:41.00,+06:29:29.00,8.3,,SN 2011jq,anon56,0.032680,05h16m41.55s,+06d29m30.2s,43
44,,13:45:36.50,-07:19:35.00,0.6,,2MASX J13453653-0719350,PGC170294,0.024310,13h45m36.54s,-07d19m34.9s,44
45,,,,1.6,,GALEXASC J134536.58-071933.8,,,13h45m36.58s,-07d19m33.9s,45
46,,,,4.9,,SN 2013da,,,13h45m36.21s,-07d19m32.6s,46
47,,,,7.0,,NVSS J134536-071934,,,13h45m36.03s,-07d19m34.5s,47
48,,01:18:43.20,-07:27:05.00,0.5,,VV 478,PGC004701,0.017752,01h18m43.17s,-07d27m05.3s,48
49,,,,6.1,,GALEXASC J011843.37-072710.5,,,01h18m43.37s,-07d27m10.5s,49
50,,,,7.9,,MCG -01-04-025 NED02,,,01h18m43.63s,-07d27m09.6s,50
51,,21:26:32.40,+12:11:03.00,0.7,,NGC 7068,NGC7068,0.017289,21h26m32.37s,+12d11m03.5s,51
52,,,,9.2,,SDSS J212632.14+121111.3,,,21h26m32.14s,+12d11m11.3s,52
53,,01:55:22.00,+06:36:43.00,0.7,,UGC 01395,UGC01395,0.017405,01h55m22.04s,+06d36m42.6s,53
54,,05:32:48.30,-14:03:46.00,0.4,,NGC 1954,NGC1954,0.010441,05h32m48.33s,-14d03m46.0s,54
55,,16:16:33.80,-00:35:20.00,0.4,,CGCG 023-030,PGC057687,0.016433,16h16m33.83s,-00d35m19.8s,55
56,,,,2.8,,GALEXASC J161633.84-003517.3,,,16h16m33.85s,-00d35m17.3s,56
57,,,,4.0,,SDSS J161634.04-003521.5,,,16h16m34.05s,-00d35m21.5s,57
58,,16:17:11.00,+04:33:15.00,0.7,,CGCG 051-075,CGCG051-075,0.018000,16h17m11.04s,+04d33m14.8s,58
59,,21:40:38.90,+06:30:35.00,0.8,,CGCG 402-014,PGC067159,0.023063,21h40m38.95s,+06d30m35.2s,59
60,,15:33:48.90,+21:08:10.00,0.4,,ARK 477,PGC055442,0.023576,15h33m48.92s,+21d08m10.3s,60
61,,00:40:10.50,-10:26:26.00,0.8,,VIII Zw 035,PGC002414,0.027219,00h40m10.55s,-10d26m26.2s,61
62,,09:07:36.60,+03:23:34.00,0.8,,NGC 2765,NGC2765,0.012549,09h07m36.64s,+03d23m34.5s,62
63,,03:02:11.10,+15:55:39.00,0.5,,2MASX J03021111+1555387,PGC2816341,0.017000,03h02m11.09s,+15d55m38.6s,63
64,,,,3.6,,SN 2013hk,,,03h02m10.85s,+15d55m38.8s,64
65,,12:40:11.30,+18:03:42.00,1.3,,KUG 1237+183,anon57,0.026400,12h40m11.39s,+18d03m42.2s,65
