Amusing_Name,redshift_amusing,def_name,SN_name_1,SN_type,pgc,hyperleda_name,other_names(pgc),objtype,RA_hours_hyperleda,RA_degrees_hyperleda,DEC_deggrees_hyperleda,Delta_RA(arcsec),Delta_dec(arcsec),l2,b2,type,bar,ring,compactness,t,e_t,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,bt,e_bt,it,e_it,ubt,bvt,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,m21,e_m21,vrad,e_vrad,v,e_v,ag,ai,incl,btc,ubtc,bvtc,bri25,vrot,e_vrot,modz,mod0,mabs,Pointings,RA_pointing,DEC_pointing,RA_SN,DEC_SN,Source
IC5201,0.003052,IC5201,SN1978G,II,68618,IC5201,PGC068618/LOG464/IRAS22179-4617/IC5201/HIPASSJ2220-46/ESOLV2890180/ESO289-018/AGC035285/2MASXJ22205743-4602090,G,22.3492743,335.2391145,-46.0352517,-0.58122,0.190612,350.3188035,-54.8431195,Sc,B,,,6.1,0.6,1.826,0.017,0.369,0.024,22.3,23.22,0.31,11.387,0.22,10.91,0.1,,,80.13,1.28,,,,,12.522,0.135,915.3,3.6,915.4,2.6,0.052,0.65,66.71,10.681,,,23.533,87.24,1.42,30.185,29.988,-19.504,4.0,22:20:49/22:20:54/22:20:58/22:21:00,-46:01:30/-46:00:33/-46:02:00/-46:01:03,22:20:57,-46:02:05,HK
NGC3512,0.00459,NGC3512,SN2001fv,II,33432,NGC3512,UGC06128/SDSSJ110402.94+280212.5/SDSSJ110402.94+280212.4/PGC033432/NGC3512/MCG+05-26-041/LGG227:[G93]006/IRAS11013+2818/CGCG155-051/AGC006128/2MASXJ11040298+2802125,G,11.0674846,166.012269,28.0367798,0.06816,0.019272,204.4793288,66.2346931,Sc,B,,,5.1,0.5,1.201,0.034,0.067,0.027,140.89,22.329,0.162,13.006,0.066,12.175,0.254,,0.71,88.81,2.09,,,,,15.467,0.124,1372.1,3.5,1371.7,1.3,0.122,0.116,31.7,12.76,,0.661,22.62,168.99,4.48,31.697,,-18.937,1.0,11:04:03,28:02:14,11:04:03,28:02:13,HK
NGC4451,0.002882,NGC4451,SN1985G,II,41050,NGC4451,[RG2008]J187.16894+09.25881/VCC1118/UGC07600/SDSSJ122840.54+091531.7/PGC041050/NGC4451/MCG+02-32-079/LGG292:[G93]121/IRAS12260+0932/EVCC0705/CGCG070-111/ARK368/AGC007600/2MASXJ12284055+0915321,G,12.4779275,187.1689125,9.2589425,0.6915,-0.2193,285.1220007,71.3393039,Sab,,,,2.4,2.7,1.131,0.08,0.199,0.047,166.41,20.681,0.389,13.317,0.032,12.259,0.109,,0.81,93.63,2.58,,,,,16.27,0.195,860.8,4.1,860.8,2.9,0.082,0.265,53.69,12.961,,0.749,22.405,116.18,3.34,30.694,32.078,-17.733,1.0,12:28:41,09:15:30,12:28:41,09:15:30,HK
NGC4806,0.008032,NGC4806,SN2011fh,Iin,44116,NGC4806,PGC044116/NGC4806/MCG-05-31-003/IRAS12535-2914/ESOLV4430120/ESO443-012/2MASXJ12561239-2930106,G,12.936775,194.051625,-29.5029444,2.43,1.579984,304.1741245,33.357342,Sc,B,R,,4.9,0.7,1.131,0.035,0.072,0.024,51.6,21.299,0.306,13.427,0.195,12.081,0.147,,,54.73,3.03,,,,,15.292,0.245,2408.5,6.1,2390.6,2.4,0.374,0.124,32.9,12.915,,,22.683,100.75,5.83,32.623,,-19.708,1.0,12:56:14,-29:29:55,12:56:14,-29:29:55,HK
NGC3120,0.00931,NGC3120,SN2010F,II,29278,NGC3120,PGC029278/NGC3120/MCG-06-22-017/LGG184:[G93]005/IRAS10031-3358/HIPASSJ1005-34/ESOLV3740290/ESO374-029/AGC026839/6dFJ1005230-341312/2MASXJ10052305-3413118,G,10.0897396,151.346094,-34.2200151,-3.01884,-0.894564,267.9365409,17.1349785,SABb,B,,,4.2,0.6,1.225,0.037,0.158,0.029,7.49,21.845,0.217,13.512,0.036,11.616,0.029,0.13,0.74,105.0,1.71,,,,,14.728,0.088,2790.7,4.3,2789.3,9.5,0.472,0.259,47.53,12.763,0.014,0.584,23.087,142.35,2.47,32.907,31.666,-20.144,2.0,10:05:23/10:05:23,-34:13:41/-34:12:44,10:05:21,-34:13:21,HK
NGC4487,0.003456,NGC4487,SN2009N,IIP,41399,NGC4487,PGC041399/NGC4487/MCG-01-32-021/LGG293:[G93]001/IRAS12285-0746/IRAS12284-0746/HIPASSJ1231-08/6dFJ1231045-080314/2MASXJ12310446-0803140,G,12.5179065,187.7685975,-8.0538622,7.4949,1.760392,294.235279,54.4736794,Sc,B,,,6.0,0.3,1.539,0.028,0.261,0.03,74.23,,,11.831,0.326,10.547,0.322,,,86.53,1.59,,,,,13.79,0.115,1035.6,3.5,1036.0,2.1,0.092,0.459,58.18,11.275,,,22.754,101.84,1.92,30.951,30.25,-19.675,4.0,12:31:01/12:31:04/12:31:05/12:31:08,-8:03:39/-8:02:42/-8:03:40/-8:02:42,12:31:09,-08:02:56,HK
NGC4772,0.003469,NGC4772,SN1988E,II-pec,43798,NGC4772,UGC08021/SDSSJ125329.17+021006.1/PGC043798/NGC4772/MCG+00-33-018/LGG292:[G93]054/HIPASSJ1253+02/EVCC2240/CGCG015-032/2MASXJ12532917+0210060,G,12.8914317,193.3714755,2.1683499,-0.45618,1.654036,304.1442025,65.035266,Sa,,,,1.2,0.7,1.615,0.022,0.313,0.028,155.14,21.107,0.571,11.895,0.073,10.747,0.142,0.33,0.92,200.33,5.68,,,148.35,3.97,14.822,0.197,1038.7,4.2,1034.8,4.2,0.117,0.293,67.28,11.473,0.247,0.828,23.354,217.17,6.23,31.03,32.18,-19.557,1.0,12:53:27,02:10:45,12:53:29,02:10:23,HK
NGC3318,0.009255,NGC3318,SN2000cl,II,31533,NGC3318,PGC031533/NGC3318/MCG-07-22-026/LGG199:[G93]008/IRAS10350-4122/HIPASSJ1037-41/ESOLV3170520/ESO317-052/AGC027358/6dFJ1037155-413739/2MASXJ10371552-4137395,G,10.620976,159.31464,-41.6275552,0.8346,-0.860128,277.6690693,14.5692635,Sbc,B,,,3.6,0.9,1.401,0.023,0.267,0.025,82.29,21.62,0.462,12.326,0.179,10.999,0.055,-0.02,0.6,171.92,2.71,,,,,14.25,0.123,2773.7,3.2,2774.0,3.5,0.335,0.414,60.01,11.558,-0.124,0.454,22.605,198.5,3.22,32.873,32.643,-21.315,1.0,10:37:18,-41:37:32,10:37:16,-41:37:48,HK
NGC4691,0.003703,NGC4691,SN1997X,Ib,43238,NGC4691,UGCA299/SDSSJ124813.91-031959.9/SDSSJ124813.66-031958.3/SDSSJ124813.62-031957.7/PGC043238/NGC4691/MCG+00-33-013/IRAS12456-0303/HIPASSJ1247-03/EVCC1170/CGCG015-023/2MASXJ12481367-0319585,G,12.8037971,192.0569565,-3.3328171,0.91566,-0.035844,301.3518717,59.5290802,S0-a,B,,,0.3,0.9,1.482,0.028,0.091,0.021,28.0,20.479,0.384,11.516,0.094,10.471,0.57,-0.07,0.58,27.63,1.52,,,,,15.839,0.18,1123.2,6.5,1125.9,1.4,0.119,0.055,38.72,11.325,-0.097,0.525,22.595,44.16,2.51,31.181,28.318,-19.856,1.0,12:48:16,-3:20:22,12:48:14,-03:19:59,HK
NGC4965,0.007542,NGC4965,SN2000P,II,45437,NGC4965,UGCA326/PGC045437/NGC4965/MCG-05-31-036/LGG331:[G93]002/IRAS13044-2757/HIPASSJ1307-28/ESOLV4430700/ESO443-070/6dFJ1307094-281342/2MASXJ13070938-2813414,G,13.1192709,196.7890635,-28.228134,1.73214,-2.12176,307.1342641,34.5153646,SABc,B,,,6.7,0.9,1.396,0.023,0.084,0.026,141.71,22.564,0.312,12.722,0.196,,,,,77.36,2.23,,,,,14.516,0.189,2264.1,4.9,2263.6,4.6,0.33,0.151,34.98,12.233,,,23.275,134.93,4.18,32.507,,-20.274,1.0,13:07:11,-28:14:08,13:07:11,-28:14:03,HK
UGC12158,0.030974,UGC12158,SN2004ef,Ia,69533,UGC12158,UGC12158/PGC069533/MCG+03-57-032/CGCG452-045/2MASXJ22421049+1959492,G,22.7029139,340.5437085,19.997,0.76494,-0.02,85.9247679,-33.4261637,Sb,,,D,3.1,0.4,1.014,0.046,0.041,0.026,,,,15.187,0.286,,,,,68.29,1.91,,,,,15.786,0.126,9288.7,4.6,9288.6,2.4,0.238,0.063,25.47,14.816,,,23.928,158.8,5.22,35.692,35.46,-20.876,1.0,22:42:11,19:59:48,22:42:10,19:59:40,P95
UGC11816,0.015837,UGC11816,SN2004ey,Ia,67410,UGC11816,UGC11816/SDSSJ214907.30+002650.3/SDSSJ214907.29+002650.3/PGC067410/MCG+00-55-018/KIG0931/HIPASSJ2149+00/CGCG376-034/2MIG2963/2MASXJ21490730+0026509,G,21.818691,327.280365,0.4473139,-0.4314,-0.033004,57.4726673,-38.2682624,Sbc,B,R,,4.3,0.5,0.902,0.058,0.023,0.021,,22.921,0.466,15.011,0.292,13.575,0.323,,,52.47,1.68,,,,,15.346,0.186,4747.2,3.9,4747.0,0.8,0.596,0.039,19.09,14.345,,,23.217,160.48,6.33,34.208,34.261,-19.863,1.0,21:48:57,00:28:00,21:49:08,00:26:39,P95
M+03-22-20,0.026645,MCG+03-22-020,SN2004gs,Ia,24286,PGC024286,SDSSJ083823.84+173752.8/SDSSJ083823.84+173752.7/PGC024286/NPM1G+17.0214/MCG+03-22-020/KPG166A/CGCG089-058/ARK174/2MASXJ08382384+1737526,G,8.6399611,129.5994165,17.6313668,0.21006,0.007952,207.9600773,31.3152542,E,,,,-3.6,1.5,0.816,0.064,0.074,0.028,41.58,22.281,0.333,15.212,0.506,13.465,0.096,,,,,,,,,,,,,8214.0,2.4,0.134,0.0,41.18,14.955,,,23.156,,,35.401,35.524,-20.446,1.0,08:38:24,17:37:53,08:38:23,17:37:40,P95
anon1,0.08057,2MASX J14564322+0919361,SN2005ag,Ia,200171,PGC200171,SDSSJ145643.21+091936.4/PGC200171/IRAS14542+0931/2MASXJ14564322+0919361,G,14.9453352,224.180028,9.3267854,-0.31008,0.557256,7.8443139,55.5014649,,,,,,,0.571,0.093,0.143,0.029,80.75,,,16.884,0.442,15.165,0.134,,,,,,,,,,,,,23803.5,15.0,0.173,,44.92,16.473,,,23.478,,,37.774,37.62,-21.301,1.0,14:56:43,09:19:44,14:56:44,09:19:43,P95
anon2,0.035024,SDSS J145931.51+164011.0,SN2005be,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,14:59:33,16:40:11,14:59:33,16:40:12,P95
M+03-31-93,0.023086,MCG+03-31-093,SN2005bg,Ia,39401,PGC039401,SDSSJ121717.25+162217.8/SDSSJ121717.24+162217.8/PGC039401/MCG+03-31-093/KUG1214+166/IRAS12147+1638/CGCG098-131/2MASXJ12171723+1622172,G,12.2881122,184.321683,16.3714687,-0.30588,0.071268,264.8517293,76.6469339,,,,C,,,0.806,0.065,0.059,0.028,32.12,22.381,0.288,15.179,0.292,14.082,0.101,,,,,,,,,,,,,6904.3,3.3,0.139,,29.72,14.971,,,22.95,,,35.042,35.08,-20.07,1.0,12:17:17,16:22:16,12:17:17,16:22:18,P95
anon3,0.060041,SDSS J030110.70-003307.1,SN2005gj,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,03:01:12,-0:33:14,03:01:12,-0:33:14,P95
M+00-06-03,0.045931,MCG+00-06-003,SN2005hc,Ia,7299,PGC007299,SDSSJ015648.51-001245.2/SDSSJ015648.50-001245.2/PGC007299/MCG+00-06-003/CGCG387-004/2MASXJ01564849-0012454,G,1.9468017,29.2020255,-0.212622,-0.72918,0.04392,155.8733785,-58.8388977,Sbc,,,,4.4,2.5,0.74,0.067,0.24,0.027,51.84,,,16.3,0.877,14.724,0.073,,,,,,,,,,,,,13762.3,3.7,0.141,0.396,56.95,15.672,,,23.295,,,36.521,36.7,-20.848,1.0,01:56:49,-0:12:45,01:56:48,-0:12:49,P95
anon4,0.05804,SN 2005hj,SN2005hj,Ia,5070402,SN2005HJ,SN2005HJ,sn,1.44675,21.70125,-1.2380556,-0.45,0.100016,142.5456447,-62.7552293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.168,,,,,,,,,,,,1.0,01:26:48,-1:14:16,01:26:48,-1:14:17,P95
anon5,0.076452,GALEXASC J011643.76+004738.1,SN2005ir,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,01:16:44,00:47:36,01:16:44,00:47:37,P95
anon6,0.050034,2MASXJ22594265-0000478,SN2005ku,Ia,1154145,2MASXJ22594265-0000478,SDSSJ225942.68-000048.8/SDSSJ225942.66-000048.9/SDSSJ225942.66-000048.7/PGC1154145/NPM1G-00.0607/2MASXJ22594265-0000478,G,22.9951873,344.9278095,-0.0135689,-1.01142,-0.015196,73.6143311,-51.8520421,,,,,,,0.594,0.078,0.353,0.037,86.87,,,16.833,0.698,15.723,0.17,,,,,,,,,,,,,13615.3,1.7,0.233,,65.61,16.464,,,23.542,,,36.507,35.67,-20.042,1.0,22:59:42,-0:00:50,22:59:43,-0:00:49,P95
M-03-07-40,0.032188,MCG-03-07-040,SN2005lu,Ia,9874,ESO545-038,PGC009874/MCG-03-07-040/IRAS02337-1728/ESOLV5450380/ESO545-038/6dFJ0236036-171547/2MASXJ02360360-1715464,G,2.6010021,39.0150315,-17.2628739,0.58866,-0.365396,196.1755009,-63.9203695,Sbc,,R,,3.9,2.5,1.017,0.044,0.3,0.028,164.5,24.426,1.316,14.528,0.198,13.865,0.075,,,,,,,,,,,,,4666.0,24.0,0.11,0.474,62.79,13.913,,,22.818,,,34.093,35.98,-20.18,1.0,02:36:04,-17:15:51,02:36:04,-17:15:50,P95
NGC2930,0.022011,NGC2930,SN2005M,Ia,27404,NGC2930,SDSSJ093732.77+231212.2/PGC027404/NGC2930/MCG+04-23-018/CGCG122-035/2MASXJ09373277+2312121,G,9.6257401,144.3861015,23.2032755,0.50346,-0.07918,206.8925632,46.2168051,Sb,,,,2.7,3.0,0.697,0.077,0.363,0.036,142.26,,,15.253,0.633,14.422,0.071,,,,,,,,,,,7376.0,8.5,7377.0,6.2,0.136,0.492,69.28,14.569,,,21.911,,,35.18,35.13,-20.611,1.0,09:37:33,23:12:12,09:37:32,23:12:03,P95
UGC3634,0.026321,UGC3634,SN2005na,Ia,20020,UGC03634,UGC03634/PGC020020/MCG+02-18-006/2MASXJ07013676+1408068,G,7.0268986,105.403479,14.135238,0.24756,0.41432,201.3967151,8.607529,SBa,B,R,,1.0,0.4,1.045,0.044,0.273,0.035,130.78,,,15.195,0.467,,,,,,,,,,,,,,,7890.9,2.0,0.337,0.239,63.65,14.521,,,23.867,,,35.299,35.153,-20.778,1.0,07:01:33,14:08:52,07:01:37,14:08:11,P95
NGC5185,0.024523,NGC5185,SN2006br,Ia,47422,NGC5185,UGC08488/SDSSJ133002.25+132457.8/SDSSJ133002.24+132457.8/PGC047422/NGC5185/MCG+02-34-025/CGCG072-104/ALFALFA1-593/AGC008488/2MFGC10857/2MASXJ13300224+1324573,G,13.5006321,202.5094815,13.4160444,-0.41334,0.124016,338.17572,73.5868197,Sb,,R,,3.1,0.4,1.302,0.04,0.434,0.046,57.58,23.12,0.452,14.46,0.297,12.648,0.299,,,277.16,3.67,,,,,16.353,0.095,7373.4,4.0,7387.3,9.0,0.106,0.61,74.1,13.688,,,24.013,288.18,3.89,35.192,35.26,-21.504,1.0,13:30:02,13:24:59,13:30:02,13:24:57,P95
M+03-41-04,0.032155,MCG+03-41-004,SN2006bt,Ia,56443,PGC056443,SDSSJ155633.68+200308.5/SDSSJ155633.67+200308.5/PGC056443/NPM1G+20.0457/MCG+03-41-004/CGCG108-013/2MASXJ15563364+2003082,G,15.9426819,239.1402285,20.0524281,0.51774,-0.074116,33.7015542,47.2357959,S0-a,,,,-0.2,0.9,1.028,0.067,0.078,0.044,30.24,21.389,0.232,14.755,0.162,13.123,0.063,,,,,,,,,,,,,9617.9,2.1,0.218,0.026,36.35,14.367,,,23.594,,,35.779,35.817,-21.412,1.0,15:56:31,20:02:46,15:56:31,20:02:46,P95
M-01-33-34,0.008632,MCG-01-33-034,SN2006D,Ia,43690,PGC043690,PGC043690/MRK1337/MCG-01-33-034/IRAS12499-0930/HCG062:[ZM98]0011/2MASXJ12523471-0946363,G,12.8762912,193.144368,-9.7765831,0.52752,0.169916,303.3994424,53.094139,SABa,B,,,2.1,0.7,1.121,0.036,0.221,0.023,113.54,,,14.263,0.387,12.355,0.075,,,101.87,5.5,,,,,15.155,0.266,2556.5,5.4,2557.1,4.9,0.198,0.279,56.57,13.76,,,23.284,122.07,6.66,32.839,33.083,-19.079,1.0,12:52:35,-9:46:36,12:52:34,-9:46:31,P95
NGC809,0.018072,NGC809,SN2006ef,Ia,7889,NGC0809,SDSSJ020418.97-084407.1/PGC007889/NGC0809/MCG-02-06-023/6dFJ0204190-084407/2MASXJ02041900-0844072,G,2.0719415,31.0791225,-8.7352943,0.0159,-0.094052,169.4637669,-64.7980718,S0,,,,-1.8,0.6,1.047,0.042,0.11,0.023,173.47,20.882,0.368,14.553,0.296,12.645,0.322,,,,,,,160.33,12.92,,,,,5340.0,1.5,0.104,0.0,45.25,14.369,,,23.524,,,34.404,34.722,-20.035,1.0,02:04:19,-8:44:07,02:04:20,-8:43:42,P95
NGC191A,0.020417,NGC191A,SN2006ej,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,00:38:57,-9:02:14,00:39:00,-9:00:57,P95
